molecule_chembl_id,canonical_smiles,standard_value,units
CHEMBL329244,COc1ccc(C)c(Nc2c(C#N)cnc3cc4[nH]c(NCCN5CCOCC5)nc4cc23)c1,1000.0,uM
CHEMBL131577,Cc1cccc(Cl)c1NC(=O)c1cnc(NC(=O)C2CC2)s1,25000.0,uM
CHEMBL296468,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,25000.0,uM
CHEMBL281006,Nc1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnc2cn1,97.0,uM
CHEMBL30432,CN(C)c1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnc2cn1,97.0,uM
CHEMBL87084,Oc1cc2cc(-c3ccncc3)cnc2cc1O,10000.0,uM
CHEMBL32464,c1ccc(Cc2nc3ccc(Nc4ncnc5ccccc45)cc3[nH]2)cc1,1300.0,uM
CHEMBL287591,c1ccc(Cn2ccc3cc(Nc4ncnc5ccccc45)ccc32)cc1,1300.0,uM
CHEMBL31615,c1ccc(Cn2cnc3cc(Nc4ncnc5ccccc45)ccc32)cc1,27000.0,uM
CHEMBL31653,Nc1cc2c(Nc3ccc4[nH]c(Cc5ccccc5)nc4c3)ncnc2cn1,1860.0,uM
CHEMBL31108,COc1cc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c2cc1OC,350.0,uM
CHEMBL416031,COc1cc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2cc1OC,290.0,uM
CHEMBL86664,Clc1ccc2cc(-c3ccncc3)cnc2c1,10000.0,uM
CHEMBL68423,COc1cc(OC)c2cc(-c3ccncc3)cnc2c1,10000.0,uM
CHEMBL31161,COc1cc2ncnc(Nc3ccc4nn(Cc5ccccc5)cc4c3)c2cc1OC,3100.0,uM
CHEMBL31407,COc1cc2ncnc(Nc3ccc4nc(Cc5ccccc5)[nH]c4c3)c2cc1OC,1100.0,uM
CHEMBL280069,COc1cc2cc(-c3ccncc3)cnc2cc1OC,10000.0,uM
CHEMBL281881,c1ccc(Cn2cnc3ccc(Nc4ncnc5ccccc45)cc32)cc1,21000.0,uM
CHEMBL53898,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCCc1ccccc1,35000.0,uM
CHEMBL98934,COC1=CC(=O)C=C(/C=C2\CCCC3CCCCC23)C1=O,100000.0,uM
CHEMBL440298,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCCCc1ccccc1,500000.0,uM
CHEMBL56731,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)Nc1ccccc1,42000.0,uM
CHEMBL56543,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCc1ccccc1,13500.0,uM
CHEMBL430845,COC1=CC(=O)C=CC1=O,29000.0,uM
CHEMBL293749,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCc1ccccc1,23000.0,uM
CHEMBL319347,COC1=CC(=O)C(N[C@@H](CO)C(=O)O)=CC1=O,100000.0,uM
CHEMBL53753,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,52000.0,uM
CHEMBL433520,CCN(CC)CC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1100000.0,uM
CHEMBL162034,CN(C)CCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,379000.0,uM
CHEMBL162622,Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,219000.0,uM
CHEMBL14326,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1S,45000.0,uM
CHEMBL85021,CC(C)c1cc(/C=C2\C(=O)Nc3ccccc32)cc(C(C)C)c1O,7000.0,uM
CHEMBL85403,Cc1cccc2c1/C(=C/c1ccc[nH]1)C(=O)N2,100000.0,uM
CHEMBL86755,O=C1Nc2ccccc2/C1=C/c1ccc[nH]1,100000.0,uM
CHEMBL86943,CCOC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccccc32)c1C,100000.0,uM
CHEMBL87080,O=C1Nc2ccc(Br)cc2/C1=C/c1ccc(N2CCOCC2)cc1,10000.0,uM
CHEMBL86945,COc1ccc(/C=C2\C(=O)Nc3ccccc32)cc1C(C)(C)C,13200.0,uM
CHEMBL89363,Cc1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1CCC(=O)O,100000.0,uM
CHEMBL87208,O=C1Nc2cc(F)ccc2/C1=C/c1ccc[nH]1,100000.0,uM
CHEMBL87402,O=C1Nc2ccccc2/C1=C/c1n[nH]cc1Cl,100000.0,uM
CHEMBL86837,O=C1Nc2ccccc2/C1=C/c1ccc(Br)cc1,100000.0,uM
CHEMBL328452,CCc1ccc(/C=C2/C(=O)Nc3ccccc32)o1,100000.0,uM
CHEMBL89040,Cc1cccc2c1/C(=C/c1ccc(N3CCN(C=O)CC3)cc1)C(=O)N2,100000.0,uM
CHEMBL86432,CSc1ccc(/C=C2\C(=O)Nc3cccc(C)c32)s1,91400.0,uM
CHEMBL90277,Cc1cccc2c1/C(=C/c1ccc(N3CCOCC3)cc1)C(=O)N2,66600.0,uM
CHEMBL89723,CC(C)c1cc(/C=C2\C(=O)Nc3ccc(Cl)cc32)cc(C(C)C)c1O,8200.0,uM
CHEMBL86480,O=C1Nc2ccccc2/C1=C/c1ccc(N2CCOCC2)cc1,100000.0,uM
CHEMBL314217,O=C1Nc2ccccc2/C1=C/c1ccc(N2CCCC2)cc1,100000.0,uM
CHEMBL87746,COc1c(Br)cc(/C=C2\C(=O)Nc3ccccc32)cc1C(C)(C)C,19000.0,uM
CHEMBL313578,O=C1Nc2ccccc2/C1=C/c1ccc(O)cc1,100000.0,uM
CHEMBL314798,C/C(=C1\C(=O)Nc2ccccc21)c1ccc(N2CCCCC2)cc1,100000.0,uM
CHEMBL316008,CCOC(=O)c1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1C,100000.0,uM
CHEMBL87783,O=C1Nc2ccccc2/C1=C/c1sccc1Br,100000.0,uM
CHEMBL316268,O=C1Nc2ccccc2/C1=C/c1cc(Br)cs1,100000.0,uM
CHEMBL312826,O=C1Nc2ccccc2/C1=C\c1ccco1,100000.0,uM
CHEMBL313433,CCc1c(/C=C2\C(=O)Nc3ccccc32)[nH]c(C)c1C,100000.0,uM
CHEMBL315701,O=C1Nc2ccccc2/C1=C/c1ccc(N2CCCCC2)cc1,92600.0,uM
CHEMBL87810,COc1ccc(/C=C2\C(=O)Nc3ccccc32)cc1,100000.0,uM
CHEMBL89809,Cc1cccc2c1/C(=C/c1ccc(N(C)C)cc1)C(=O)N2,100000.0,uM
CHEMBL89646,Cn1cc(Cl)c(/C=C2\C(=O)Nc3ccccc32)n1,100000.0,uM
CHEMBL48760,CC(C)c1ccc(/C=C2/C(=O)Nc3ccccc32)cc1,16900.0,uM
CHEMBL276711,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,100000.0,uM
CHEMBL89505,CC(C)(C)c1cc(/C=C2\C(=O)Nc3ccccc32)cc(C(C)(C)C)c1O,64800.0,uM
CHEMBL86944,COc1c(Br)cc(/C=C2\C(=O)Nc3ccc(Cl)cc32)cc1C(C)(C)C,15200.0,uM
CHEMBL89721,CSc1ccc(/C=C2\C(=O)Nc3ccccc32)s1,100000.0,uM
CHEMBL86921,CN(C)c1ccc(/C=C2\C(=O)N(C)c3ccccc32)cc1,100000.0,uM
CHEMBL315546,O=CN1CCN(c2ccc(/C=C3\C(=O)Nc4ccccc43)cc2)CC1,90200.0,uM
CHEMBL88405,O=CN1CCN(c2ccc(/C=C3\C(=O)Nc4ccc(Br)cc43)cc2)CC1,50000.0,uM
CHEMBL330321,Cc1cc(C)c(/C=C2\C(=O)Nc3cccc(C)c32)[nH]1,100000.0,uM
CHEMBL328710,CN(C)c1ccc(/C=C2\C(=O)Nc3ccccc32)cc1,100000.0,uM
CHEMBL314146,CCc1ccc(/C=C2\C(=O)Nc3ccccc32)s1,100000.0,uM
CHEMBL421548,O=C1Nc2ccc(Cl)cc2/C1=C/c1ccc(N2CCOCC2)cc1,10000.0,uM
CHEMBL86326,COc1ccc(/C=C2\C(=O)Nc3ccc(Cl)cc32)cc1C(C)(C)C,16200.0,uM
CHEMBL89483,Cc1ccc2c(c1)/C(=C/c1[nH]c(C)cc1C)C(=O)N2,100000.0,uM
CHEMBL87325,O=C1Nc2ccc([N+](=O)[O-])cc2/C1=C/c1ccc[nH]1,100000.0,uM
CHEMBL316009,COC(=O)CCc1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1C,100000.0,uM
CHEMBL314021,CN1C(=O)/C(=C\c2ccc(Br)cc2)c2ccccc21,22500.0,uM
CHEMBL420411,CCc1c(C)[nH]c(/C=C2\C(=O)Nc3ccccc32)c1C,100000.0,uM
CHEMBL86631,Cn1cccc1/C=C1\C(=O)Nc2ccccc21,100000.0,uM
